id	name	address	zip code	phone	city	country	notes	sid
524	Jared Ely	1003 Qinhuangdao Street	25972	35533115997	Purwakarta	Indonesia	active	1
1	Mary Smith	1913 Hanoi Way	35200	28303384290	Sasebo	Japan	active	1
2	Patricia Johnson	1121 Loja Avenue	17886	838635286649	San Bernardino	United States	active	1
3	Linda Williams	692 Joliet Street	83579	448477190408	Athenai	Greece	active	1
4	Barbara Jones	1566 Inegl Manor	53561	705814003527	Myingyan	Myanmar	active	2
5	Elizabeth Brown	53 Idfu Parkway	42399	10655648674	Nantou	Taiwan	active	1
6	Jennifer Davis	1795 Santiago de Compostela Way	18743	860452626434	Laredo	United States	active	2
7	Maria Miller	900 Santiago de Compostela Parkway	93896	716571220373	Kragujevac	Yugoslavia	active	1
8	Susan Wilson	478 Joliet Way	77948	657282285970	Hamilton	New Zealand	active	2
9	Margaret Moore	613 Korolev Drive	45844	380657522649	Masqat	Oman	active	2
10	Dorothy Taylor	1531 Sal Drive	53628	648856936185	Esfahan	Iran	active	1
11	Lisa Anderson	1542 Tarlac Parkway	1027	635297277345	Sagamihara	Japan	active	2
12	Nancy Thomas	808 Bhopal Manor	10672	465887807014	Yamuna Nagar	India	active	1
13	Karen Jackson	270 Amroha Parkway	29610	695479687538	Osmaniye	Turkey	active	2
14	Betty White	770 Bydgoszcz Avenue	16266	517338314235	Citrus Heights	United States	active	2
15	Helen Harris	419 Iligan Lane	72878	990911107354	Bhopal	India	active	1
16	Sandra Martin	360 Toulouse Parkway	54308	949312333307	Southend-on-Sea	United Kingdom	active	2
17	Donna Thompson	270 Toulon Boulevard	81766	407752414682	Elista	Russian Federation	active	1
18	Carol Garcia	320 Brest Avenue	43331	747791594069	Kaduna	Nigeria	active	2
19	Ruth Martinez	1417 Lancaster Avenue	72192	272572357893	Kimberley	South Africa	active	1
20	Sharon Robinson	1688 Okara Way	21954	144453869132	Mardan	Pakistan	active	2
21	Michelle Clark	262 A Corua (La Corua) Parkway	34418	892775750063	Tangail	Bangladesh	active	1
22	Laura Rodriguez	28 Charlotte Amalie Street	37551	161968374323	Sal	Morocco	active	1
23	Sarah Lewis	1780 Hino Boulevard	7716	902731229323	Liepaja	Latvia	active	2
24	Kimberly Lee	96 Tafuna Way	99865	934730187245	Crdoba	Argentina	active	2
